treatment,group,HS,vial,wet.mass,(Intercept),time,slope,adj.slope,mgO2hrg
BayFarm17HS,BayFarm17,HS,11,1687.7,93.811952,-0.16588428,0.16588428,0.148007362,0.368330225
BayFarm17HS,BayFarm17,HS,12,1498.7,93.78691771,-0.073472414,0.073472414,0.055595497,0.15580242
BayFarm17HS,BayFarm17,HS,14,1499.3,95.4864599,-0.149749081,0.149749081,0.131872164,0.369414452
BayFarm17HS,BayFarm17,HS,15,2385.5,98.21868416,-0.304471795,0.304471795,0.286594878,0.504589598
BayFarm17HS,BayFarm17,HS,16,1279.9,94.93499071,-0.076183321,0.076183321,0.058306403,0.191332834
BayFarm17HS,BayFarm17,HS,18,1741.8,98.62836012,-0.125400984,0.125400984,0.107524066,0.259272636
BayFarm17HS,BayFarm17,HS,22,1615.5,98.86985747,-0.127437382,0.127437382,0.109560465,0.284836863
PointOrient17,PointOrient17,noHS,4,2154.9,84.9821607,-0.50720872,0.50720872,0.489331803,0.953730369
PointOrient17,PointOrient17,noHS,6,2114.4,108.8538811,-0.564028594,0.564028594,0.546151677,1.084864284
PointOrient17,PointOrient17,noHS,7,1609.9,93.35496523,-0.238744031,0.238744031,0.220867114,0.576210869
PointOrient17,PointOrient17,noHS,14,1536.5,86.56449132,-0.209622681,0.209622681,0.191745764,0.524134206
PointOrient17,PointOrient17,noHS,16,2045.3,93.37016449,-0.513308331,0.513308331,0.495431414,1.017362704
PointOrient17,PointOrient17,noHS,17,1631.2,92.84678178,-0.521905981,0.521905981,0.504029063,1.297769781
PointOrient17HS,PointOrient17,HS,4,2154.9,97.1435714,-0.288033481,0.288033481,0.270156564,0.526547668
PointOrient17HS,PointOrient17,HS,6,2114.4,88.3590527,-0.185801466,0.185801466,0.167924549,0.333561817
PointOrient17HS,PointOrient17,HS,7,1609.9,89.85136033,-0.106847048,0.106847048,0.088970131,0.23211041
PointOrient17HS,PointOrient17,HS,14,1536.5,93.35852825,-0.185763433,0.185763433,0.167886516,0.458915306
PointOrient17HS,PointOrient17,HS,16,2045.3,98.46448997,-0.628187461,0.628187461,0.610310544,1.253265674
PointOrient17HS,PointOrient17,HS,17,1631.2,89.81027624,-0.152440832,0.152440832,0.134563914,0.346474032
CrownBeach17,CrownBeach17,noHS,2,173.1,99.48264349,-0.025557429,0.025557429,0.007680512,0.186355569
CrownBeach17,CrownBeach17,noHS,5,426.5,99.35726849,-0.035785262,0.035785262,0.017908344,0.176354152
CrownBeach17,CrownBeach17,noHS,9,1904.2,98.04078222,-0.266237117,0.266237117,0.248360199,0.547795839
CrownBeach17,CrownBeach17,noHS,12,196.8,98.9660754,-0.040031591,0.040031591,0.022154673,0.472813147
CrownBeach17HS,CrownBeach17,HS,2,173.1,92.72432988,-0.02307081,0.02307081,0.005193893,0.126021661
CrownBeach17HS,CrownBeach17,HS,5,426.5,86.79259902,-0.077305472,0.077305472,0.059428555,0.585228439
CrownBeach17HS,CrownBeach17,HS,9,1904.2,94.88230753,-0.300167741,0.300167741,0.282290824,0.622634944
CrownBeach17HS,CrownBeach17,HS,12,196.8,94.22457996,-0.028364699,0.028364699,0.010487781,0.223824604
ParadisePark17,ParadisePark17,noHS,5,893.5,86.81261903,-0.047073461,0.047073461,0.029196544,0.137241727
ParadisePark17,ParadisePark17,noHS,13,1372.6,80.48171537,-0.245657444,0.245657444,0.227780527,0.696982524
ParadisePark17,ParadisePark17,noHS,15,215.6,96.90025815,-0.143676527,0.143676527,0.125799609,2.450641741
ParadisePark17HS,ParadisePark17,HS,5,893.5,99.00223864,-0.204371855,0.204371855,0.186494937,0.876641003
ParadisePark17HS,ParadisePark17,HS,13,1372.6,89.97662978,-0.160770206,0.160770206,0.142893288,0.437237222
ParadisePark17HS,ParadisePark17,HS,15,215.6,99.00046089,-0.110469683,0.110469683,0.092592765,1.803755169
Albany17,Albany17,noHS,4,1555,82.68526237,-0.123620321,0.123620321,0.105743404,0.285609193
Albany17,Albany17,noHS,9,206,97.33282711,-0.113573732,0.113573732,0.095696815,1.951100109
Albany17,Albany17,noHS,11,232.6,101.8805743,-0.042944283,0.042944283,0.025067366,0.452635157
Albany17,Albany17,noHS,15,1164.5,91.27959152,-0.179352003,0.179352003,0.161475086,0.582391895
Albany17,Albany17,noHS,21,1055.6,99.78062203,-0.271647403,0.271647403,0.253770486,1.009696894
Albany17HS,Albany17,HS,4,1555,95.93978741,-0.128505332,0.128505332,0.110628414,0.298803434
Albany17HS,Albany17,HS,9,206,93.3464724,-0.142973486,0.142973486,0.125096569,2.550512566
Albany17HS,Albany17,HS,11,232.6,101.4223347,-0.111538462,0.111538462,0.093661544,1.691223068
Albany17HS,Albany17,HS,15,1164.5,99.76981789,-0.107432465,0.107432465,0.089555548,0.322999829
Albany17HS,Albany17,HS,21,1055.6,97.1122772,-0.109522448,0.109522448,0.091645531,0.36463739
Humboldt21,Humboldt21,noHS,1,53,102.6527739,-0.031317319,0.031317319,0.031317319,2.48174978
